"variable","f_statistic","p_value","eta_squared","significant","effect_size","n_groups","n_observations"
"demuestra_confianza","227.4224256747662","8.319685823405013e-179","0.16138722382810455","True","Grande","5","4732"
"nivel_motivación","423.92769386519524","1.679954127706641e-170","0.14784250524335132","True","Grande","3","4890"
"participación_clase","170.66749248219227","2.2593008054331712e-72","0.06528559970736268","True","Moderado","3","4890"
"time_engagement_level","25.270228023833695","9.57169326570261e-21","0.020552917672976966","True","Pequeño","5","4822"
"género","82.30434542697158","1.6570882739208383e-19","0.016559216439672765","True","Pequeño","2","4890"
"proyección_vocacional","12.174495820283392","2.5027163943838916e-17","0.02513836154147311","True","Pequeño","9","3786"
"actividades_extracurriculares","12.126021406819872","2.9874825042772296e-17","0.02501494761502181","True","Pequeño","9","3790"
"apoyo_familiar","37.44369533381128","7.273542642540077e-17","0.0150925212064407","True","Pequeño","3","4890"
"medio_transporte","16.951311964645186","8.21430000227381e-14","0.01369027136447511","True","Pequeño","5","4890"
"estrato","11.3019505969261","7.698357472778037e-11","0.014714128232772874","True","Pequeño","6","3790"
"interés_estudios_superiores","21.017826094732676","8.363002891186198e-10","0.010978130267716081","True","Pequeño","3","3790"
"count_collaboration","4.535557676450632","3.2437365063832266e-08","0.012857717051986493","True","Pequeño","15","4890"
"familia","7.697722895481458","3.5670738233295036e-06","0.008069334105769328","True","Muy pequeño","5","3790"
"dia_preferido","5.88847281989799","3.9099299626175816e-06","0.007183501494892856","True","Muy pequeño","7","4890"
"rol_adicional","8.822592829216793","7.867889450982592e-06","0.005387878288699704","True","Muy pequeño","4","4890"
"enfermedades","17.01617232033539","3.767857484887933e-05","0.0034691368432911407","True","Muy pequeño","2","4890"
"zona_vivienda","15.830039815922797","7.029670154038165e-05","0.0032280971582198063","True","Muy pequeño","2","4890"
"país_origen","5.689722421308561","0.0006930981169887901","0.003481322959482304","True","Muy pequeño","4","4890"
"common_bigrams","2.8559583512648","0.002326360668093893","0.005240455810024993","True","Muy pequeño","10","4890"
"nee","6.433251662147091","0.011231196085970117","0.00131440175631414","True","Muy pequeño","2","4890"
"period","3.502563817018848","0.014777983156274498","0.002145956284190511","True","Muy pequeño","4","4890"
"tipo_vivienda","1.2623424820487357","0.283109399577182","0.0006662273435280117","False","Muy pequeño","3","3790"
"jornada_preferida","1.1748003311432669","0.3177281776525114","0.000720806504762248","False","Muy pequeño","4","4890"
"antigüedad","0.5658157543040959","0.4519626510595459","0.00011574268929357883","False","Muy pequeño","2","4890"
"año_ingreso","0.5714157878886287","0.6337987100384752","0.0003507257742390442","False","Muy pequeño","4","4890"
"nivel_educativo","0.5616703141711124","0.6402976694234672","0.0003447462221360285","False","Muy pequeño","4","4890"
