"variable","pearson_r","pearson_p","spearman_r","spearman_p","pearson_significant","spearman_significant","effect_size_pearson","effect_size_spearman","n_observations"
"age","0.1904999153924127","3.4658326116080817e-41","0.16152018167455365","6.126623082735098e-30","True","True","Débil","Débil","4890"
"intensidad","-0.16956761689573807","7.221535936647605e-33","-0.12252377154588227","8.102594426073303e-18","True","True","Débil","Débil","4890"
"sequence_match_ratio","0.15724602771844365","1.9165514780121945e-28","0.17965189191034175","9.51274514987345e-37","True","True","Débil","Débil","4890"
"avg_days_since_last_update","0.15347767416126057","3.6851754351728946e-27","0.15940911798315874","3.3959822668236874e-29","True","True","Débil","Débil","4890"
"percent_modules_viewed_interacciones_de_estudiantes","0.1539506623654431","5.8108700604248194e-27","0.17588345390493512","8.373607321434616e-35","True","True","Débil","Débil","4822"
"avg_days_from_planned_start","-0.15374999398622696","6.776276061859663e-27","-0.17574677102333716","9.443962942187384e-35","True","True","Débil","Débil","4822"
"avg_days_after_end","-0.15374995119969959","6.776497983896665e-27","-0.1757465712381211","9.445622899160335e-35","True","True","Débil","Débil","4822"
"modules_viewed","0.15029915341363093","9.222220550981582e-26","0.16408835583622638","1.8825711001082038e-30","True","True","Débil","Débil","4822"
"percent_modules_participated","0.14850189580913703","3.5065027457743575e-25","0.16513433431545177","7.97204784377499e-31","True","True","Débil","Débil","4822"
"total_course_time_hours","0.14485976446461538","4.992963890099521e-24","0.1689374210878985","3.3410175972025186e-32","True","True","Débil","Débil","4822"
"total_course_time_minutes","0.14485606269400825","5.006288397883517e-24","0.16893546432270298","3.346540086274928e-32","True","True","Débil","Débil","4822"
"median_days_after_end","-0.14438383066244592","7.029447020174022e-24","-0.16074148810969754","2.8331932545267205e-29","True","True","Débil","Débil","4822"
"median_days_from_planned_start","-0.14438382744907313","7.029463228180718e-24","-0.16074148810969754","2.8331932545267205e-29","True","True","Débil","Débil","4822"
"median_days_since_last_update","0.13858639870341397","2.1239661334103915e-22","0.13777194310180335","3.7429219037698673e-22","True","True","Débil","Débil","4890"
"modules_participated","0.13506298746545975","4.5274041565252164e-21","0.15411772488337946","5.1121230778966164e-27","True","True","Débil","Débil","4822"
"total_hours","-0.1203071937243709","3.134774916297008e-17","-0.116644393771715","2.777124776330434e-16","True","True","Débil","Débil","4890"
"missing_activities","-0.11853722663482111","9.071368027570738e-17","-0.15383625754964017","2.7904072680747605e-27","True","True","Débil","Débil","4890"
"teacher_experiencia_nivel","0.11840003605449193","9.843624655341097e-17","0.1308562292564979","4.010494825148273e-20","True","True","Débil","Débil","4890"
"real_sequence_length","0.11740726453795791","1.7729426655222907e-16","0.16294032277853351","1.9106337413681305e-30","True","True","Débil","Débil","4890"
"total_accesses","0.11740726453795791","1.7729426655222907e-16","0.16294032277853351","1.9106337413681305e-30","True","True","Débil","Débil","4890"
"log_total_interactions","0.1169482144093312","3.736206298635294e-16","0.13192122565351963","3.6283330649602424e-20","True","True","Débil","Débil","4822"
"iqr_views","0.11666925134780298","4.391299252399246e-16","0.1592469215137991","9.331983248474422e-29","True","True","Débil","Débil","4822"
"percent_in_english","0.1113490966518428","5.774345175069802e-15","0.09152635728238541","1.4350064738435864e-10","True","True","Débil","Muy débil","4890"
"median_views_per_module","0.11122819204463616","9.498413652619935e-15","0.15992070493899718","5.460157804371115e-29","True","True","Débil","Débil","4822"
"log_total_views","0.10358707460415978","5.566888819831382e-13","0.1372238444842239","1.0511181964854023e-21","True","True","Débil","Débil","4822"
"count_in_english","0.0991179519489872","3.7442836676983095e-12","0.08738328358452571","9.314565527779063e-10","True","True","Muy débil","Muy débil","4890"
"std_days_after_end","0.09733862672581745","1.2562374879784655e-11","0.1364831143749773","1.7386166340107998e-21","True","True","Muy débil","Débil","4822"
