variable,cramers_v,p_value,significant,categories
nivel_motivación,0.2623183033033341,4.185915347033168e-142,True,3
demuestra_confianza,0.22394631824117794,1.2148901283275695e-144,True,5
participación_clase,0.17625727155552323,1.2350929013752954e-62,True,3
género,0.12022800639871266,3.046614902551032e-15,True,2
actividades_extracurriculares,0.10253467653532274,1.1731397537681175e-14,True,9
proyección_vocacional,0.0943009395434789,2.0253538611718308e-11,True,9
estrato,0.09138232052189879,1.1736290019193998e-13,True,6
count_collaboration,0.0902878559644837,2.2414356363001027e-09,True,15
time_engagement_level,0.08827219997467319,1.7323306296442652e-18,True,5
zona_vivienda,0.07835326579932733,1.3661866689015e-06,True,2
common_bigrams,0.07804837453830077,8.199892418003671e-08,True,11
interés_estudios_superiores,0.07388425923760335,2.4388547816499503e-07,True,3
apoyo_familiar,0.07359771483292687,1.1872018757170524e-09,True,3
rol_adicional,0.06858074875496704,2.393290513640916e-11,True,4
medio_transporte,0.06427290418741358,1.75303001710308e-08,True,5
enfermedades,0.05883206884507952,0.0007321778627069229,True,2
dia_preferido,0.05580236774186587,0.00033017525231349295,True,7
familia,0.05340006984640532,0.0011905358423478741,True,5
nee,0.048887950644886956,0.008535011121466358,True,2
tipo_vivienda,0.04781357075278325,0.008147466847872676,True,3
period,0.04598688277603957,0.0002932363874211941,True,4
país_origen,0.03162828096969696,0.10025558276945647,False,4
jornada_preferida,0.029133685813814553,0.18903656899307586,False,4
año_ingreso,0.02107975305958491,0.6870892270476903,False,4
nivel_educativo,0.01922455626949173,0.7960997879317635,False,4
antigüedad,0.015216201714153969,0.7693082242835312,False,2
