,edad_estudiante,age,horas_semana_estudio_casa,count_login_fri,student_total_interactions,count_login_mon,avg_days_since_last_update,intensidad,total_hermanos,count_login_tue,percent_collaboration,student_total_views,count_login_thu,max_inactividad,interaction_to_view_ratio,percent_modules_viewed,teacher_experiencia_nivel_ficc,teacher_experiencia_nivel,total_course_time_hours,total_hours,median_views_per_module,percent_students_interacted,percent_students_viewed,sequence_match_ratio,num_students_viewed,median_days_since_last_update,num_modules,min_days_from_planned_start,std_days_from_planned_start,std_days_after_end,log_total_views,percent_in_english,log_total_interactions,modules_participated,median_days_from_planned_start,median_days_after_end,percent_modules_participated,modules_viewed,avg_days_after_end,avg_days_from_planned_start,percent_modules_viewed_interacciones_de_estudiantes,nota_final
edad_estudiante,1.0,-0.06787255635536192,0.04910943495718027,0.5134896424358674,0.017347018080806718,0.10622876096726759,0.25809818923956307,0.28650153343738827,0.06066200011831584,0.248662092455152,0.3504514519308424,0.11748557367941151,0.2565847507807984,-0.2662885021477574,-0.013018613263023561,0.25871996642920675,0.0729691323962057,0.0016431200899305585,0.27912486637913364,0.15663858543119105,0.0453178762708084,0.2766379813148034,0.3995368342067537,0.17765679597198078,0.2705373688215577,0.24649511781266456,-0.025125393972377494,-0.06058404543408358,0.25409408246892445,0.2540933509462861,0.2057409837793795,-0.20354970493819183,0.0793621542864556,0.014674786731415673,-0.06894256227721485,-0.06894264698446603,0.04504546946893481,0.10093306555792456,-0.15919419053851197,-0.15919446290849565,0.15955719708516158,-0.051538477549576744
age,-0.06787255635536192,1.0,-0.012045378068264117,0.033322980821078214,0.07074556184440357,-0.0773870234655423,0.5466943918155307,-0.26832311322947816,0.03155981261925518,-0.01662423961306688,0.07323705895606544,0.11776352048225285,0.04219340734184526,-0.04015943504372797,0.04584916450150813,0.10114117964299199,0.457316655735938,0.6926706563833801,0.0692218892404312,-0.2344799370410829,0.04351385945153305,0.11802478291509907,-0.003571055792214194,0.12634146123619272,0.019572767300337614,0.5411110560510806,0.09297541584430492,-0.06602349849665447,0.07754987219452134,0.077548113354731,0.08262343536536386,0.0839218193009621,0.15428534451168574,0.1479228214224836,-0.05035072757793433,-0.05035046494960721,0.13811030206099387,0.11965058479010365,-0.08595265682882437,-0.08595340606040477,0.08225961034332889,0.19128352556207695
horas_semana_estudio_casa,0.04910943495718027,-0.012045378068264117,1.0,0.06967190955615532,-0.00018842452761901106,-0.0355397913609445,0.030279015165122387,0.024827189657762493,0.0594186660652551,-0.042726164371489565,0.02732090768264518,0.00636974155195192,-0.041948889175139024,-0.045205006339141554,-0.004374083581169545,0.009090387695228448,-0.0022714398648466605,-0.025039826590371045,0.010434920249638258,0.010167530978254635,-0.017871557629627728,0.007937037925774734,0.01751685700691597,0.0018167674225675115,0.009227889427296935,0.023551564144610595,0.01795109075637837,0.00048737496654236654,0.017379558201084784,0.017379782951527478,0.005293312789176571,0.014320059616338494,-0.0022498042909746426,0.0006332885644728716,0.025822643660465543,0.025822630261798533,-0.000896937094293411,0.006021989083330398,-0.0011199929688193438,-0.001119934551162174,0.001537441737240811,0.0764321932514035
count_login_fri,0.5134896424358674,0.033322980821078214,0.06967190955615532,1.0,-0.0005724877421392073,0.18115216408075385,0.2727886918273808,0.13177673416649974,0.08967564382310869,0.2660426276166324,0.3233737264092041,0.2714070235864995,0.23993347793206485,-0.29862971474085753,-0.04622896656519909,0.3992897781128237,0.06862379030382972,0.03968535081797668,0.4647518548885766,-0.037506659358613276,0.24204551352148224,0.25497392123696694,0.2442939059837788,0.31642727762259254,0.2712000432950259,0.2851849993863063,-0.00035633468650676835,0.052862582822169796,0.3284315222227492,0.3284335517678722,0.36618981815128326,0.13110441221364952,0.2536571382767209,0.20351319873650478,-0.2723456299110374,-0.2723459788424923,0.24542665850685527,0.30750224939742704,-0.3502601984943819,-0.35025951018537926,0.3542315139447551,0.010715533199068402
student_total_interactions,0.017347018080806718,0.07074556184440357,-0.00018842452761901106,-0.0005724877421392073,1.0,-0.030913862840281726,-0.03928616288063903,0.0002777351812225195,0.0033611601123586105,-0.03175403812790114,0.08168934297846171,0.42676139654220036,-0.029387395237465898,-0.11535712121775882,0.5309462284653471,0.17763129643115055,-0.019708521702943408,0.032551327928809576,0.041339209014208504,0.24030695364281532,0.0227301582686539,0.2670148560044969,0.195898495632705,0.1211694235157965,0.2147834030331283,-0.07687463948193268,0.4562736644421981,-0.13011109808846236,0.08699471099004855,0.08699174561182367,0.15193658667010632,-0.05857561588049312,0.39310467599909643,0.31050348119985427,-0.035066455466540775,-0.035066252234562424,0.2411708300019212,0.21535942480767742,-0.0750318561178069,-0.07503291176577813,0.07012141513136243,-0.043457924055905
count_login_mon,0.10622876096726759,-0.0773870234655423,-0.0355397913609445,0.18115216408075385,-0.030913862840281726,1.0,0.057207214014929245,0.03159999983140707,0.0671762758984539,-0.02391245160874736,0.048580507065547104,0.15732177892716992,-0.021573017067455288,-0.15422179226940025,-0.06553728715033187,0.15081783740033156,0.043789211657297045,-0.0333044237178542,0.16589000675366955,0.04701700641289942,0.15454211492828346,0.19691174013991788,0.17063123493165863,0.1939914798396966,0.11129266550488226,0.03656252690663704,0.09955286272302663,-0.002378042736531332,0.18989710258900683,0.18989762991350836,0.2496369546362926,0.05733438273495006,0.14411189744686234,0.12914353466374923,-0.1395108843426023,-0.13951103829463118,0.13653995981559022,0.20897241014184356,-0.2095386287571784,-0.2095383380012493,0.2125191230416586,0.005884028475298397
avg_days_since_last_update,0.25809818923956307,0.5466943918155307,0.030279015165122387,0.2727886918273808,-0.03928616288063903,0.057207214014929245,1.0,-0.28626104152157766,0.03694025532855891,0.08393622829377316,0.2475586063043203,0.05729123386069893,0.09369263175171284,-0.0861164102708209,-0.013592615454197711,0.11638319710272686,0.323553465942445,0.30012573183088165,0.09844570145029728,-0.25978887288768504,0.02894783095923592,0.1558691145547249,0.10095557435229115,0.06378619126380966,0.10564863824957596,0.9674492925134988,0.027778145215630448,0.048469876315429476,0.08464585359330927,0.0846468360152934,0.10163321595849749,0.12322704479625285,0.09271574085151653,0.04237046486645581,-0.04177016695319331,-0.041770386002551334,0.07156363398402317,0.06541422470489396,-0.0787998539793739,-0.07879941677415098,0.08099449686510168,0.1568025171346353
intensidad,0.28650153343738827,-0.26832311322947816,0.024827189657762493,0.13177673416649974,0.0002777351812225195,0.03159999983140707,-0.28626104152157766,1.0,0.011670286793011487,0.043246587424314135,-0.23164179433919185,0.03487603388131428,0.08494359047089138,-0.06125952955554421,-0.008870109840024436,0.058906995144055,-0.19161405856005256,-0.2151792256671032,0.0723125532007286,0.4001199708161716,-0.03813275667438635,0.040437318002358905,0.1545387572864782,0.03035530594492728,0.07740201258707283,-0.28283001132130886,-0.06957271928861175,-0.016640697888053998,0.09391733819968369,0.09391737767939426,0.04679821599959663,-0.12720225890848913,-0.008693075206673548,0.05251833210957407,0.023418386319716076,0.023418310551474208,0.04975859776585039,0.004063394336945962,-0.024571097581339914,-0.024571069046275585,0.024514090623488978,-0.1430082491821654
total_hermanos,0.06066200011831584,0.03155981261925518,0.0594186660652551,0.08967564382310869,0.0033611601123586105,0.0671762758984539,0.03694025532855891,0.011670286793011487,1.0,0.07791667566566804,0.02689409833639972,0.016041248804815392,0.004975669924812272,-0.06494156547546878,0.00523396838744483,0.05167895693079421,0.03117288683333893,0.03994334353878632,0.07097300359664989,-0.020362192720892906,0.01208954785758145,0.07070264976827688,0.07920287676524641,0.04123879920583718,0.0468279734620697,0.03934788995281174,0.001569998700136711,-0.002216591971978501,0.04850282511010706,0.0485028924471842,0.04811269493819252,0.045137026611967286,0.05329176642852498,0.04028986797971745,-0.024770684741657473,-0.024770716927173256,0.05005885920205225,0.036804003479674684,-0.04250106917009329,-0.04250107638445215,0.042066319576444515,-0.012093793960003648
count_login_tue,0.248662092455152,-0.01662423961306688,-0.042726164371489565,0.2660426276166324,-0.03175403812790114,-0.02391245160874736,0.08393622829377316,0.043246587424314135,0.07791667566566804,1.0,0.2262077810470788,0.12080249995028595,0.3863423118217161,-0.2451188713670084,-0.035468453515264106,0.1689452829715614,0.054930458813537475,-0.020565919806950158,0.3716328675667969,0.007111477041824531,0.20810660692439162,0.19604368045019102,0.19021464690656442,0.2909272546663319,0.09562745328561449,0.09998414021248037,-0.04291729178628008,0.0136770854869482,0.2758392618461304,0.27584038418418894,0.325755046195985,-0.03710700955894439,0.21140821367381948,0.14476938709592907,-0.22333404953058586,-0.22333429027569915,0.20101343992161402,0.23284911888083273,-0.3091999253186059,-0.30919954164488894,0.30936036795189037,0.012854495938089796
percent_collaboration,0.3504514519308424,0.07323705895606544,0.02732090768264518,0.3233737264092041,0.08168934297846171,0.048580507065547104,0.2475586063043203,-0.23164179433919185,0.02689409833639972,0.2262077810470788,1.0,0.3047638113269707,0.18364378818792854,-0.18049006831424458,0.018616663324836448,0.3548275040237955,0.11375465879333366,0.012591553245789935,0.2842605203178133,-0.05396996651212584,0.1454489552531411,0.42365689597557454,0.36367200988070214,0.21985659219051892,0.28525979778654026,0.23768326862548844,0.08329250669831059,0.020552384157067886,0.23782304615723665,0.23782395311242535,0.29117446350895887,-0.007658336224737652,0.2524793413410254,0.12627377800236378,-0.15557711842018596,-0.1555773509018659,0.16407355071787158,0.19512761267306017,-0.23655325209883782,-0.2365528657777303,0.23783595124594759,-0.014524624290519884
student_total_views,0.11748557367941151,0.11776352048225285,0.00636974155195192,0.2714070235864995,0.42676139654220036,0.15732177892716992,0.05729123386069893,0.03487603388131428,0.016041248804815392,0.12080249995028595,0.3047638113269707,1.0,0.09753102011903593,-0.22776426102504022,0.0856207646959401,0.7695990141282216,0.10167949746242023,0.01933531240235201,0.4441355626403737,0.08879601048501316,0.3315746972025992,0.5748918841456053,0.4747803366482828,0.4395207131508471,0.5674830403924341,0.02759588278698441,0.48232835903999266,-0.028737355403460087,0.3531000581169912,0.3531004316630757,0.5444892469804317,0.15807890632531155,0.5465496982280348,0.5334780428981739,-0.33759233440431696,-0.33759253704471,0.510097010190547,0.5577083571727675,-0.443829822018608,-0.4438296623196494,0.44456501673890414,-0.0320357451730459
count_login_thu,0.2565847507807984,0.04219340734184526,-0.041948889175139024,0.23993347793206485,-0.029387395237465898,-0.021573017067455288,0.09369263175171284,0.08494359047089138,0.004975669924812272,0.3863423118217161,0.18364378818792854,0.09753102011903593,1.0,-0.2467552880359074,-0.028614728884629324,0.25604428339005614,0.07419010442186263,0.03555251256800745,0.3828603677755023,-0.08070928252857161,0.20441364872130416,0.16705210940376927,0.21328687538682684,0.26649673362504206,0.2106797421670229,0.10513797352656003,-0.16821031816781862,0.05692135452638904,0.2682750535677663,0.2682770339331757,0.28025816319475966,0.025543896862097414,0.1589529586113863,0.10171465161218121,-0.2073090775421916,-0.20730943887420944,0.164989717217236,0.19358140978646815,-0.29658803540867645,-0.2965873184785455,0.29718876480854967,0.0836762495427994
max_inactividad,-0.2662885021477574,-0.04015943504372797,-0.045205006339141554,-0.29862971474085753,-0.11535712121775882,-0.15422179226940025,-0.0861164102708209,-0.06125952955554421,-0.06494156547546878,-0.2451188713670084,-0.18049006831424458,-0.22776426102504022,-0.2467552880359074,1.0,-0.040938132099336944,-0.25216750575757946,-0.077232214186633,-0.014571512245860048,-0.2500655087756262,-0.11796527697319395,-0.13891762243333514,-0.2969906449710436,-0.2835110328655973,-0.2728734614857549,-0.24526583132484886,-0.0855622210389712,-0.14544110515988756,0.15456294346513838,-0.2718822477090208,-0.27188109772990954,-0.2892312373977634,0.009914375497759715,-0.27097425944240455,-0.2234454945543577,0.15999249304545582,0.15999234135805582,-0.2278785101058472,-0.26821452995396045,0.25926419951550866,0.25926473060174965,-0.25651620641054296,-0.007859595959810237
interaction_to_view_ratio,-0.013018613263023561,0.04584916450150813,-0.004374083581169545,-0.04622896656519909,0.5309462284653471,-0.06553728715033187,-0.013592615454197711,-0.008870109840024436,0.00523396838744483,-0.035468453515264106,0.018616663324836448,0.0856207646959401,-0.028614728884629324,-0.040938132099336944,1.0,0.020765486339698852,-0.0217523309924979,0.01701551218756862,-0.0323250490081282,0.15527143077669472,-0.042345410722168284,0.14709978216948774,0.08072041197905526,0.027986632299291728,0.07627100912776338,-0.041373159219421335,0.22422546397909907,-0.08539363330008622,0.010597482084784704,0.010595500175777438,-0.0073767378898561605,-0.043974967710593185,0.37262134029472443,0.1773918700992662,0.02854716468494934,0.02854733553402443,0.14415809743479557,0.06226339339527279,0.012297902910185959,0.012297170827934141,-0.016898132504866773,0.007677639368059416
percent_modules_viewed,0.25871996642920675,0.10114117964299199,0.009090387695228448,0.3992897781128237,0.17763129643115055,0.15081783740033156,0.11638319710272686,0.058906995144055,0.05167895693079421,0.1689452829715614,0.3548275040237955,0.7695990141282216,0.25604428339005614,-0.25216750575757946,0.020765486339698852,1.0,0.14275827418620105,-0.001004380116398645,0.5464290968430315,-0.07788432854856059,0.38466077032730694,0.6828454054649685,0.5978517477905961,0.5738087665529881,0.7672282586587579,0.11677136176805956,0.14149140964633958,0.04488095383773276,0.534480705566731,0.5344826942626765,0.6226708709942577,0.20813486659663305,0.5493710016438158,0.4904884175807762,-0.41454739904059573,-0.41454767726108294,0.5381168027134853,0.5806636353762298,-0.5870927691396527,-0.5870922961247558,0.5895232119944772,0.014852350094821602
teacher_experiencia_nivel_ficc,0.0729691323962057,0.457316655735938,-0.0022714398648466605,0.06862379030382972,-0.019708521702943408,0.043789211657297045,0.323553465942445,-0.19161405856005256,0.03117288683333893,0.054930458813537475,0.11375465879333366,0.10167949746242023,0.07419010442186263,-0.077232214186633,-0.0217523309924979,0.14275827418620105,1.0,0.7121389053381847,0.06819281824106602,-0.09290581722208864,0.06097177942853116,0.14233381322925276,0.01582338528669584,0.12854506806928045,0.06232331798998432,0.3193815357753147,0.03323843021725556,-0.022512867081254172,0.08518538149274452,0.0851848663978993,0.08731856257861431,0.08432522696005357,0.10685428021888127,0.09090243284441327,-0.07020577352323197,-0.0702056481689618,0.11060904662455819,0.1072365630038938,-0.10489200999357122,-0.10489227917135506,0.1018689373170545,0.08191373815015851
teacher_experiencia_nivel,0.0016431200899305585,0.6926706563833801,-0.025039826590371045,0.03968535081797668,0.032551327928809576,-0.0333044237178542,0.30012573183088165,-0.2151792256671032,0.03994334353878632,-0.020565919806950158,0.012591553245789935,0.01933531240235201,0.03555251256800745,-0.014571512245860048,0.01701551218756862,-0.001004380116398645,0.7121389053381847,1.0,-0.031884979460750223,-0.17024846751546502,-0.0016286252324048513,-0.04742917296734464,-0.1532369361961364,0.03639699190900558,-0.07943049821861084,0.3108364001813187,0.006096937797753404,-0.05168350257879252,-0.021491315002418878,-0.021492587442658737,-0.043496412711240065,0.022277548880599695,0.029374421015343946,0.05535145319513087,-0.009423557022850243,-0.009423384778668742,0.05552944614381704,0.024919757617861266,-0.0029034671409415716,-0.0029039987395850916,-0.00037416407507223696,0.12294518461429386
total_course_time_hours,0.27912486637913364,0.0692218892404312,0.010434920249638258,0.4647518548885766,0.041339209014208504,0.16589000675366955,0.09844570145029728,0.0723125532007286,0.07097300359664989,0.3716328675667969,0.2842605203178133,0.4441355626403737,0.3828603677755023,-0.2500655087756262,-0.0323250490081282,0.5464290968430315,0.06819281824106602,-0.031884979460750223,1.0,-0.10692225735886264,0.6439132938745219,0.40683410137525106,0.35215207084042977,0.7184732663242702,0.32171317928166404,0.09562898386149263,0.07391230448129513,0.041347554475043694,0.5558985780957676,0.5559004225161572,0.7611545972485025,0.1388128382983801,0.5673732968444816,0.5481707188316811,-0.5970268372298739,-0.5970271537550382,0.6090707634219926,0.7091219546573286,-0.7601305144060967,-0.7601299844733052,0.7644176575643429,0.15712311335373594
total_hours,0.15663858543119105,-0.2344799370410829,0.010167530978254635,-0.037506659358613276,0.24030695364281532,0.04701700641289942,-0.25978887288768504,0.4001199708161716,-0.020362192720892906,0.007111477041824531,-0.05396996651212584,0.08879601048501316,-0.08070928252857161,-0.11796527697319395,0.15527143077669472,-0.07788432854856059,-0.09290581722208864,-0.17024846751546502,-0.10692225735886264,1.0,-0.07387608989967635,0.06156986315627505,0.06512826922044682,0.016706861254776197,-0.00034920975226670386,-0.2853026961829668,0.24139195265391047,-0.14282015829877215,-0.0076902676005374945,-0.007694093650775722,-0.03948026285381836,-0.2544293076323586,0.09717816722487127,0.14094764285319772,0.04926975342743837,0.049270278765534435,0.08166011573439814,0.039863360085680956,0.052101844226086116,0.05210040010250048,-0.059825778979317935,-0.1183098995072663
median_views_per_module,0.0453178762708084,0.04351385945153305,-0.017871557629627728,0.24204551352148224,0.0227301582686539,0.15454211492828346,0.02894783095923592,-0.03813275667438635,0.01208954785758145,0.20810660692439162,0.1454489552531411,0.3315746972025992,0.20441364872130416,-0.13891762243333514,-0.042345410722168284,0.38466077032730694,0.06097177942853116,-0.0016286252324048513,0.6439132938745219,-0.07387608989967635,1.0,0.21788421668779767,0.1525575807286169,0.7162502402795606,0.15744096551099415,0.033754415175938024,0.02369784366814896,0.05248682052071338,0.21797172412490193,0.21797342377148726,0.5416760702108805,0.09804327340260326,0.40005654176450073,0.518686671646288,-0.8780246944351308,-0.8780249130034079,0.5869552619953077,0.6867307288631833,-0.7468332941735778,-0.7468326839537393,0.7508608752414537,0.12368335613425527
percent_students_interacted,0.2766379813148034,0.11802478291509907,0.007937037925774734,0.25497392123696694,0.2670148560044969,0.19691174013991788,0.1558691145547249,0.040437318002358905,0.07070264976827688,0.19604368045019102,0.42365689597557454,0.5748918841456053,0.16705210940376927,-0.2969906449710436,0.14709978216948774,0.6828454054649685,0.14233381322925276,-0.04742917296734464,0.40683410137525106,0.06156986315627505,0.21788421668779767,1.0,0.81548694754377,0.43314247672567674,0.6498957620195905,0.12123902743167189,0.35442513760363814,-0.06788957315706445,0.48639297540736126,0.48639255670337667,0.5612904877829916,0.14838254037784743,0.6286400613107728,0.4107611624865223,-0.2341383783817345,-0.23413843481768068,0.43679186197642106,0.46417384060628714,-0.41872639287042773,-0.41872663362801715,0.41850397880617146,-0.04541980238138149
percent_students_viewed,0.3995368342067537,-0.003571055792214194,0.01751685700691597,0.2442939059837788,0.195898495632705,0.17063123493165863,0.10095557435229115,0.1545387572864782,0.07920287676524641,0.19021464690656442,0.36367200988070214,0.4747803366482828,0.21328687538682684,-0.2835110328655973,0.08072041197905526,0.5978517477905961,0.01582338528669584,-0.1532369361961364,0.35215207084042977,0.06512826922044682,0.1525575807286169,0.81548694754377,1.0,0.33614487779217517,0.729762701345807,0.08236122258420844,0.20748502927544343,-0.10106521172458462,0.4264054912575511,0.4264049585253473,0.47777684605313886,-0.0006337345953871049,0.42293497670544367,0.2617716412663861,-0.15721627380527312,-0.1572163317730447,0.2888249673779137,0.33335398451843545,-0.3271779351329216,-0.3271781690386773,0.3279339484754266,-0.07989762329397761
sequence_match_ratio,0.17765679597198078,0.12634146123619272,0.0018167674225675115,0.31642727762259254,0.1211694235157965,0.1939914798396966,0.06378619126380966,0.03035530594492728,0.04123879920583718,0.2909272546663319,0.21985659219051892,0.4395207131508471,0.26649673362504206,-0.2728734614857549,0.027986632299291728,0.5738087665529881,0.12854506806928045,0.03639699190900558,0.7184732663242702,0.016706861254776197,0.7162502402795606,0.43314247672567674,0.33614487779217517,1.0,0.3250445159027928,0.054075793008783075,0.120946489741158,-0.023441797223139334,0.7025860107912053,0.7025859907235569,0.8407069361394405,0.05732342750214173,0.6897657503188427,0.7290705063627632,-0.761100765714255,-0.7611005649738275,0.7875987301357412,0.9313517207140614,-0.981433874787679,-0.9814344463383048,0.9761511614933571,0.1700948559421625
num_students_viewed,0.2705373688215577,0.019572767300337614,0.009227889427296935,0.2712000432950259,0.2147834030331283,0.11129266550488226,0.10564863824957596,0.07740201258707283,0.0468279734620697,0.09562745328561449,0.28525979778654026,0.5674830403924341,0.2106797421670229,-0.24526583132484886,0.07627100912776338,0.7672282586587579,0.06232331798998432,-0.07943049821861084,0.32171317928166404,-0.00034920975226670386,0.15744096551099415,0.6498957620195905,0.729762701345807,0.3250445159027928,1.0,0.09792702366619545,0.17985807170210583,-0.052108088592061924,0.38795107114422406,0.38795115293580956,0.4348484650393748,0.12847781960254326,0.41813314355063896,0.30988997317183875,-0.17258814447535364,-0.17258820897226573,0.33012159594504437,0.34789987271526623,-0.3224446968162764,-0.3224448409127313,0.3228321147013916,-0.0409753945810316
median_days_since_last_update,0.24649511781266456,0.5411110560510806,0.023551564144610595,0.2851849993863063,-0.07687463948193268,0.03656252690663704,0.9674492925134988,-0.28283001132130886,0.03934788995281174,0.09998414021248037,0.23768326862548844,0.02759588278698441,0.10513797352656003,-0.0855622210389712,-0.041373159219421335,0.11677136176805956,0.3193815357753147,0.3108364001813187,0.09562898386149263,-0.2853026961829668,0.033754415175938024,0.12123902743167189,0.08236122258420844,0.054075793008783075,0.09792702366619545,1.0,-0.07554165787773624,0.03663055310341212,0.08219721626006023,0.0821984394940458,0.08453612330667361,0.12973912937276053,0.05283231171043666,0.0022660274598291265,-0.04746863833107658,-0.04746884887624503,0.04889966143040745,0.03426995119110784,-0.08058784461161154,-0.08058735632561712,0.08336480321842363,0.14487500807385037
num_modules,-0.025125393972377494,0.09297541584430492,0.01795109075637837,-0.00035633468650676835,0.4562736644421981,0.09955286272302663,0.027778145215630448,-0.06957271928861175,0.001569998700136711,-0.04291729178628008,0.08329250669831059,0.48232835903999266,-0.16821031816781862,-0.14544110515988756,0.22422546397909907,0.14149140964633958,0.03323843021725556,0.006096937797753404,0.07391230448129513,0.24139195265391047,0.02369784366814896,0.35442513760363814,0.20748502927544343,0.120946489741158,0.17985807170210583,-0.07554165787773624,1.0,-0.18154854471189202,0.06641317467578732,0.0664091642455922,0.24672121093763735,0.12442239993093711,0.4586878427982088,0.4568841474329087,-0.04234660211599455,-0.042346130693539034,0.3047936789609915,0.37840357206861613,-0.07155122489710534,-0.07155266273801032,0.06419700569581234,-0.013911708222441546
min_days_from_planned_start,-0.06058404543408358,-0.06602349849665447,0.00048737496654236654,0.052862582822169796,-0.13011109808846236,-0.002378042736531332,0.048469876315429476,-0.016640697888053998,-0.002216591971978501,0.0136770854869482,0.020552384157067886,-0.028737355403460087,0.05692135452638904,0.15456294346513838,-0.08539363330008622,0.04488095383773276,-0.022512867081254172,-0.05168350257879252,0.041347554475043694,-0.14282015829877215,0.05248682052071338,-0.06788957315706445,-0.10106521172458462,-0.023441797223139334,-0.052108088592061924,0.03663055310341212,-0.18154854471189202,1.0,-0.0662304360929829,-0.06622695443690015,-0.03347601391781486,0.10750029177601302,-0.07526885691602413,-0.06387724587136934,-0.04082940152751628,-0.04082985757883236,-0.030606138936005944,-0.031022058944828134,-0.016841999483161754,-0.016840671275481677,0.02249859102734455,0.030027545839659057
std_days_from_planned_start,0.25409408246892445,0.07754987219452134,0.017379558201084784,0.3284315222227492,0.08699471099004855,0.18989710258900683,0.08464585359330927,0.09391733819968369,0.04850282511010706,0.2758392618461304,0.23782304615723665,0.3531000581169912,0.2682750535677663,-0.2718822477090208,0.010597482084784704,0.534480705566731,0.08518538149274452,-0.021491315002418878,0.5558985780957676,-0.0076902676005374945,0.21797172412490193,0.48639297540736126,0.4264054912575511,0.7025860107912053,0.38795107114422406,0.08219721626006023,0.06641317467578732,-0.0662304360929829,1.0,0.999999999949404,0.8305653988229859,0.039612242516899356,0.6347099996569479,0.46033872306362805,-0.3147386204338157,-0.3147385436723411,0.5040453440534459,0.6386804888619172,-0.6987776165914459,-0.6987781854889139,0.6964328834760467,0.11282411250699277
std_days_after_end,0.2540933509462861,0.077548113354731,0.017379782951527478,0.3284335517678722,0.08699174561182367,0.18989762991350836,0.0846468360152934,0.09391737767939426,0.0485028924471842,0.27584038418418894,0.23782395311242535,0.3531004316630757,0.2682770339331757,-0.27188109772990954,0.010595500175777438,0.5344826942626765,0.0851848663978993,-0.021492587442658737,0.5559004225161572,-0.007694093650775722,0.21797342377148726,0.48639255670337667,0.4264049585253473,0.7025859907235569,0.38795115293580956,0.0821984394940458,0.0664091642455922,-0.06622695443690015,0.999999999949404,1.0,0.8305660764030358,0.03961550378213054,0.6347087832042959,0.46033721803179745,-0.3147400847407291,-0.3147400079931827,0.504044853285167,0.6386802470670186,-0.6987788195720112,-0.6987793884309876,0.6964342500966508,0.11282440678763239
log_total_views,0.2057409837793795,0.08262343536536386,0.005293312789176571,0.36618981815128326,0.15193658667010632,0.2496369546362926,0.10163321595849749,0.04679821599959663,0.04811269493819252,0.325755046195985,0.29117446350895887,0.5444892469804317,0.28025816319475966,-0.2892312373977634,-0.0073767378898561605,0.6226708709942577,0.08731856257861431,-0.043496412711240065,0.7611545972485025,-0.03948026285381836,0.5416760702108805,0.5612904877829916,0.47777684605313886,0.8407069361394405,0.4348484650393748,0.08453612330667361,0.24672121093763735,-0.03347601391781486,0.8305653988229859,0.8305660764030358,1.0,0.15583123766770496,0.7447087997445513,0.6508542177191067,-0.5540401255622496,-0.5540401871565503,0.689437421883028,0.8471494058128882,-0.8557602336677734,-0.8557603680376253,0.8561039179898463,0.11165618560380622
percent_in_english,-0.20354970493819183,0.0839218193009621,0.014320059616338494,0.13110441221364952,-0.05857561588049312,0.05733438273495006,0.12322704479625285,-0.12720225890848913,0.045137026611967286,-0.03710700955894439,-0.007658336224737652,0.15807890632531155,0.025543896862097414,0.009914375497759715,-0.043974967710593185,0.20813486659663305,0.08432522696005357,0.022277548880599695,0.1388128382983801,-0.2544293076323586,0.09804327340260326,0.14838254037784743,-0.0006337345953871049,0.05732342750214173,0.12847781960254326,0.12973912937276053,0.12442239993093711,0.10750029177601302,0.039612242516899356,0.03961550378213054,0.15583123766770496,1.0,0.16430122179574946,0.15041359255859116,-0.09692191884139015,-0.09692231846632031,0.17558832571107139,0.1817728667216615,-0.12608065835923976,-0.12607944583485198,0.13315122084996678,0.08471371294058606
log_total_interactions,0.0793621542864556,0.15428534451168574,-0.0022498042909746426,0.2536571382767209,0.39310467599909643,0.14411189744686234,0.09271574085151653,-0.008693075206673548,0.05329176642852498,0.21140821367381948,0.2524793413410254,0.5465496982280348,0.1589529586113863,-0.27097425944240455,0.37262134029472443,0.5493710016438158,0.10685428021888127,0.029374421015343946,0.5673732968444816,0.09717816722487127,0.40005654176450073,0.6286400613107728,0.42293497670544367,0.6897657503188427,0.41813314355063896,0.05283231171043666,0.4586878427982088,-0.07526885691602413,0.6347099996569479,0.6347087832042959,0.7447087997445513,0.16430122179574946,1.0,0.7884631683831008,-0.4377451973871654,-0.4377450234283585,0.7976616873309208,0.7619767176622776,-0.6676151141060928,-0.6676159114375984,0.6628592630973565,0.1164965795184559
modules_participated,0.014674786731415673,0.1479228214224836,0.0006332885644728716,0.20351319873650478,0.31050348119985427,0.12914353466374923,0.04237046486645581,0.05251833210957407,0.04028986797971745,0.14476938709592907,0.12627377800236378,0.5334780428981739,0.10171465161218121,-0.2234454945543577,0.1773918700992662,0.4904884175807762,0.09090243284441327,0.05535145319513087,0.5481707188316811,0.14094764285319772,0.518686671646288,0.4107611624865223,0.2617716412663861,0.7290705063627632,0.30988997317183875,0.0022660274598291265,0.4568841474329087,-0.06387724587136934,0.46033872306362805,0.46033721803179745,0.6508542177191067,0.15041359255859116,0.7884631683831008,1.0,-0.5697867784534852,-0.5697863167564378,0.9667870816704908,0.833893717204979,-0.6953018187050783,-0.6953028558705723,0.6830801048795294,0.13741927634330717
