"variable","f_statistic","p_value","eta_squared","significant","effect_size","n_groups","n_observations"
"nivel_motivación","822.1168175100784","0.0","0.12130775367276649","True","Moderado","3","11913"
"demuestra_confianza","245.2576719191342","1.638580911500517e-202","0.07847598427573121","True","Moderado","5","11525"
"participación_clase","292.46907641948974","1.006722500424447e-124","0.04681400945598719","True","Pequeño","3","11913"
"género","199.5982681526703","5.891765122085775e-45","0.01648128884578362","True","Pequeño","2","11913"
"apoyo_familiar","72.66733175963873","4.28528640091808e-32","0.012055630770589593","True","Pequeño","3","11913"
"nivel_educativo","35.93781696314705","6.771549954528722e-30","0.012027632154565041","True","Pequeño","5","11813"
"actividades_extracurriculares","18.0464530148256","4.8976075001401054e-27","0.015504871886398538","True","Pequeño","9","9176"
"interés_estudios_superiores","60.580288409586224","7.287093330503968e-27","0.013036204379916089","True","Pequeño","3","9176"
"proyección_vocacional","15.99270643977965","1.1294964272375491e-23","0.013776510752312267","True","Pequeño","9","9168"
"medio_transporte","19.31443831028833","7.467126180752261e-16","0.006446065227112923","True","Muy pequeño","5","11913"
"familia","13.587184961451484","4.792170628801335e-11","0.005891239602798378","True","Muy pequeño","5","9176"
"estrato","11.113131022236791","1.076406744569498e-10","0.006023007931269693","True","Muy pequeño","6","9176"
"nee","39.561468259756886","3.290258502967257e-10","0.003310427578221385","True","Muy pequeño","2","11913"
"país_origen","9.215731772651896","4.3718581729521725e-06","0.0023161608838367983","True","Muy pequeño","4","11913"
"enfermedades","17.88362360429576","2.3658730289895688e-05","0.0014991866941268968","True","Muy pequeño","2","11913"
"period","7.34632056340287","6.462396294727612e-05","0.001847195517588553","True","Muy pequeño","4","11913"
"zona_vivienda","10.416793606910604","0.0012521235243344252","0.0008737882239380297","True","Muy pequeño","2","11913"
"tipo_vivienda","6.421106706405398","0.0016341767508316729","0.0013980441982836425","True","Muy pequeño","3","9176"
"año_ingreso","4.326471657919054","0.00469559701297505","0.001088696308052296","True","Muy pequeño","4","11913"
"rol_adicional","2.3552849550846027","0.06988434346413047","0.0005979870924927585","False","Muy pequeño","4","11813"
"antigüedad","0.8435497896683607","0.35840209651888233","7.08160568213015e-05","False","Muy pequeño","2","11913"
