"variable","pearson_r","pearson_p","spearman_r","spearman_p","pearson_significant","spearman_significant","effect_size_pearson","effect_size_spearman","n_observations"
"intensidad","-0.18815548596135037","1.400851312012813e-94","-0.1954053368633524","5.317798229767302e-102","True","True","Débil","Débil","11813"
"edad_estudiante","-0.17980332255882286","4.063674496301828e-87","-0.17844557372083256","8.165345353486375e-86","True","True","Débil","Débil","11913"
"unique_students_count","0.16450126570796147","1.944326853399904e-72","0.19278646819588757","2.7606048706799303e-99","True","True","Débil","Débil","11813"
"age","0.07077010327403396","1.3534746186635664e-14","0.11873182275152526","2.375992104201098e-38","True","True","Muy débil","Débil","11813"
"horas_semana_estudio_casa","0.06586925315516712","2.689232990993058e-10","0.13317003078845002","1.406284775998072e-37","True","True","Muy débil","Débil","9176"
"total_subjects","-0.04803422450941355","1.7586842871710012e-07","-0.031827115910073825","0.0005407292847314208","True","True","Muy débil","Muy débil","11813"
"update_events_count","0.04725550344324854","2.770647492057022e-07","0.04253859838817159","3.7455609154862477e-06","True","True","Muy débil","Muy débil","11813"
"total_hours","-0.04552875386795628","7.403998644525076e-07","-0.028265090483658346","0.0021237750212724773","True","True","Muy débil","Muy débil","11813"
"teacher_experiencia_nivel","0.03793558077646761","3.720638161305984e-05","0.06668996957857874","3.996327114540517e-13","True","True","Muy débil","Muy débil","11813"
"total_hermanos","-0.022715734385731358","0.029558459885949698","0.0026621890857598846","0.798738054788164","True","False","Muy débil","Muy débil","9176"
"teacher_experiencia_nivel_ficc","0.0050918711512817506","0.580011166087915","-0.021625328436553033","0.018751647688362783","False","True","Muy débil","Muy débil","11813"
