"variable","chi2_significant","correlation_significant","anova_significant"
"teacher_experiencia_nivel","False","True","False"
"nivel_motivación","True","False","True"
"actividades_extracurriculares","True","False","True"
"enfermedades","True","False","True"
"participación_clase","True","False","True"
"nivel_educativo","True","False","True"
"año_ingreso","True","False","True"
"proyección_vocacional","True","False","True"
"total_hermanos","False","True","False"
"update_events_count","False","True","False"
"estrato","True","False","True"
"interés_estudios_superiores","True","False","True"
"nee","True","False","True"
"unique_students_count","False","True","False"
"apoyo_familiar","True","False","True"
"horas_semana_estudio_casa","False","True","False"
"age","False","True","False"
"intensidad","False","True","False"
"género","True","False","True"
"total_hours","False","True","False"
"teacher_experiencia_nivel_ficc","False","True","False"
"period","True","False","True"
"tipo_vivienda","True","False","True"
"medio_transporte","True","False","True"
"demuestra_confianza","True","False","True"
"país_origen","True","False","True"
"rol_adicional","True","False","False"
"edad_estudiante","False","True","False"
"zona_vivienda","True","False","True"
"familia","True","False","True"
"total_subjects","False","True","False"
